district_number,electoral_district,electoral_district_fre,party,party_fre,family_name,first_name,initials
10001,Avalon,Avalon,Conservative Party of Canada,Parti conservateur du Canada,Chapman,Matthew,
10001,Avalon,Avalon,Green Party of Canada,Le Parti Vert du Canada,Malone,Greg,
10001,Avalon,Avalon,Liberal Party of Canada,Parti libÈral du Canada,McDonald,Kenneth,
10001,Avalon,Avalon,New Democratic Party,Nouveau Parti dÈmocratique,Movelle,Lea Mary,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,New Democratic Party,Nouveau Parti dÈmocratique,Cooper,Matthew,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Green Party of Canada,Le Parti Vert du Canada,Reichel,Kelsey,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Liberal Party of Canada,Parti libÈral du Canada,Rogers,Churence,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Conservative Party of Canada,Parti conservateur du Canada,Vokey,Sharon,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Conservative Party of Canada,Parti conservateur du Canada,Bracci,Alex,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,New Democratic Party,Nouveau Parti dÈmocratique,Joe,Noel,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Liberal Party of Canada,Parti libÈral du Canada,Simms,Scott,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Green Party of Canada,Le Parti Vert du Canada,White,Byron,
10004,Labrador,Labrador,Green Party of Canada,Le Parti Vert du Canada,Colbourne,Tyler,
10004,Labrador,Labrador,Conservative Party of Canada,Parti conservateur du Canada,Flemming,Larry,
10004,Labrador,Labrador,New Democratic Party,Nouveau Parti dÈmocratique,Gray,Michelene,
10004,Labrador,Labrador,Liberal Party of Canada,Parti libÈral du Canada,Jones,Yvonne,
10005,Long Range Mountains,Long Range Mountains,Conservative Party of Canada,Parti conservateur du Canada,Eisses,Josh,
10005,Long Range Mountains,Long Range Mountains,Liberal Party of Canada,Parti libÈral du Canada,Hutchings,Gudie,
10005,Long Range Mountains,Long Range Mountains,Green Party of Canada,Le Parti Vert du Canada,Knill,Lucas,
10005,Long Range Mountains,Long Range Mountains,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,Miles,Robert,
10005,Long Range Mountains,Long Range Mountains,New Democratic Party,Nouveau Parti dÈmocratique,Pike,Holly,
10006,St. John's East,St. John's-Est,New Democratic Party,Nouveau Parti dÈmocratique,Harris,Jack,
10006,St. John's East,St. John's-Est,Green Party of Canada,Le Parti Vert du Canada,Peters,David,
10006,St. John's East,St. John's-Est,Conservative Party of Canada,Parti conservateur du Canada,Wall,Joedy,
10006,St. John's East,St. John's-Est,Liberal Party of Canada,Parti libÈral du Canada,Whalen,Nick,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,New Democratic Party,Nouveau Parti dÈmocratique,Anonsen,Anne Marie,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green Party of Canada,Le Parti Vert du Canada,Hayward,Alexandra,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Christian Heritage Party of Canada,Parti de l'HÈritage ChrÈtien du Canada,Jones,David,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative Party of Canada,Parti conservateur du Canada,Martin,Terry,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal Party of Canada,Parti libÈral du Canada,O'Regan,Seamus,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,People's Party of Canada,Parti populaire du Canada,Ruckpaul,Benjamin,
11001,Cardigan,Cardigan,Green Party of Canada,Le Parti Vert du Canada,Beaton,Glen,
11001,Cardigan,Cardigan,Liberal Party of Canada,Parti libÈral du Canada,MacAulay,Lawrence,
11001,Cardigan,Cardigan,Conservative Party of Canada,Parti conservateur du Canada,Phelan,Wayne,
11001,Cardigan,Cardigan,Christian Heritage Party of Canada,Parti de l'HÈritage ChrÈtien du Canada,Squires,Christene,
11001,Cardigan,Cardigan,New Democratic Party,Nouveau Parti dÈmocratique,Thiele,Lynne,
11002,Charlottetown,Charlottetown,New Democratic Party,Nouveau Parti dÈmocratique,Byrne,Joe,
11002,Charlottetown,Charlottetown,Conservative Party of Canada,Parti conservateur du Canada,Campbell,Robert A.,
11002,Charlottetown,Charlottetown,Liberal Party of Canada,Parti libÈral du Canada,Casey,Sean,
11002,Charlottetown,Charlottetown,Green Party of Canada,Le Parti Vert du Canada,Lanthier,Darcie,
11002,Charlottetown,Charlottetown,Christian Heritage Party of Canada,Parti de l'HÈritage ChrÈtien du Canada,MacLeod,Fred,
11003,Egmont,Egmont,Green Party of Canada,Le Parti Vert du Canada,Clark,Alex,
11003,Egmont,Egmont,New Democratic Party,Nouveau Parti dÈmocratique,Dunn,Sharon,
11003,Egmont,Egmont,Conservative Party of Canada,Parti conservateur du Canada,McLellan,Logan,
11003,Egmont,Egmont,Liberal Party of Canada,Parti libÈral du Canada,Morrissey,Bobby,
11004,Malpeque,Malpeque,Liberal Party of Canada,Parti libÈral du Canada,Easter,Wayne,
11004,Malpeque,Malpeque,Green Party of Canada,Le Parti Vert du Canada,Keenan,Anna,
11004,Malpeque,Malpeque,New Democratic Party,Nouveau Parti dÈmocratique,Nash,Craig,
11004,Malpeque,Malpeque,Conservative Party of Canada,Parti conservateur du Canada,Stewart,Stephen,
12001,Cape Breton--Canso,Cape Breton--Canso,Independent,IndÈpendant(e),Dockrill,Michelle,
12001,Cape Breton--Canso,Cape Breton--Canso,Green Party of Canada,Le Parti Vert du Canada,Doucet,Clive,
12001,Cape Breton--Canso,Cape Breton--Canso,People's Party of Canada,Parti populaire du Canada,Joyce,Billy,
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal Party of Canada,Parti libÈral du Canada,Kelloway,Mike,
12001,Cape Breton--Canso,Cape Breton--Canso,National Citizens Alliance of Canada,Alliance Nationale des Citoyens du Canada,LeBlanc,Darlene Lynn,
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative Party of Canada,Parti conservateur du Canada,MacLeod,Alfie,
12001,Cape Breton--Canso,Cape Breton--Canso,New Democratic Party,Nouveau Parti dÈmocratique,Suitor,Laurie,
12002,Central Nova,Nova-Centre,Conservative Party of Canada,Parti conservateur du Canada,Canyon,George,
12002,Central Nova,Nova-Centre,Liberal Party of Canada,Parti libÈral du Canada,Fraser,Sean,
12002,Central Nova,Nova-Centre,Communist Party of Canada,Parti communiste du Canada,Frazer,Chris,
12002,Central Nova,Nova-Centre,New Democratic Party,Nouveau Parti dÈmocratique,MacDonald,Betsy,
12002,Central Nova,Nova-Centre,People's Party of Canada,Parti populaire du Canada,Muir,Al,
12002,Central Nova,Nova-Centre,Green Party of Canada,Le Parti Vert du Canada,Randle,Barry,
12002,Central Nova,Nova-Centre,Independent,IndÈpendant(e),Slowik,Michael,
12003,Cumberland--Colchester,Cumberland--Colchester,People's Party of Canada,Parti populaire du Canada,Archer,William,
12003,Cumberland--Colchester,Cumberland--Colchester,Conservative Party of Canada,Parti conservateur du Canada,Armstrong,Scott,
12003,Cumberland--Colchester,Cumberland--Colchester,Green Party of Canada,Le Parti Vert du Canada,Blanch,Jason,
12003,Cumberland--Colchester,Cumberland--Colchester,New Democratic Party,Nouveau Parti dÈmocratique,Duchesne,Larry,
12003,Cumberland--Colchester,Cumberland--Colchester,National Citizens Alliance of Canada,Alliance Nationale des Citoyens du Canada,Garvey,Stephen J,
12003,Cumberland--Colchester,Cumberland--Colchester,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,O'Blenis,Jody,
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,IndÈpendant(e),Rushton,Matthew V.,
12003,Cumberland--Colchester,Cumberland--Colchester,Liberal Party of Canada,Parti libÈral du Canada,Zann,Lenore,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative Party of Canada,Parti conservateur du Canada,Cole,Jason,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal Party of Canada,Parti libÈral du Canada,Fisher,Darren,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,People's Party of Canada,Parti populaire du Canada,Lindsay,Michelle,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green Party of Canada,Le Parti Vert du Canada,MacPherson,Lil,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,New Democratic Party,Nouveau Parti dÈmocratique,Norton,Emma,
12005,Halifax,Halifax,Liberal Party of Canada,Parti libÈral du Canada,Fillmore,Andy,
12005,Halifax,Halifax,Conservative Party of Canada,Parti conservateur du Canada,Holland,Bruce,
12005,Halifax,Halifax,People's Party of Canada,Parti populaire du Canada,McGenn,Duncan,
12005,Halifax,Halifax,Green Party of Canada,Le Parti Vert du Canada,Roberts,Jo-Ann,
12005,Halifax,Halifax,New Democratic Party,Nouveau Parti dÈmocratique,Saulnier,Christine,
12005,Halifax,Halifax,Animal Protection Party of Canada,Le Parti pour la Protection des Animaux du Canada,Wilson,Bill,
12006,Halifax West,Halifax-Ouest,Liberal Party of Canada,Parti libÈral du Canada,Regan,Geoff,
12006,Halifax West,Halifax-Ouest,Conservative Party of Canada,Parti conservateur du Canada,Shuman,Fred,
12006,Halifax West,Halifax-Ouest,New Democratic Party,Nouveau Parti dÈmocratique,Wilson,Jacob,
12006,Halifax West,Halifax-Ouest,Green Party of Canada,Le Parti Vert du Canada,Zurawski,Richard,
12007,Kings--Hants,Kings--Hants,Green Party of Canada,Le Parti Vert du Canada,Anderson,Brogan,
12007,Kings--Hants,Kings--Hants,Liberal Party of Canada,Parti libÈral du Canada,Blois,Kody,
12007,Kings--Hants,Kings--Hants,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,Dodge,Stacey,
12007,Kings--Hants,Kings--Hants,Conservative Party of Canada,Parti conservateur du Canada,MacQuarrie,Martha,
12007,Kings--Hants,Kings--Hants,New Democratic Party,Nouveau Parti dÈmocratique,Schneider,Stephen,
12007,Kings--Hants,Kings--Hants,People's Party of Canada,Parti populaire du Canada,Southall,Matthew,
12007,Kings--Hants,Kings--Hants,Parti RhinocÈros Party,Parti RhinocÈros Party,Tan,Nicholas,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Conservative Party of Canada,Parti conservateur du Canada,Copley,Kevin,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Green Party of Canada,Le Parti Vert du Canada,Edmonds,Anthony,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,People's Party of Canada,Parti populaire du Canada,Hogg,Sybil,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Liberal Party of Canada,Parti libÈral du Canada,Samson,Darrell,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,New Democratic Party,Nouveau Parti dÈmocratique,Stickland,Matt,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Independent,IndÈpendant(e),Foster,Steven,
12009,South Shore--St. Margarets,South Shore--St. Margarets,New Democratic Party,Nouveau Parti dÈmocratique,Hepburn,Jessika,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Liberal Party of Canada,Parti libÈral du Canada,Jordan,Bernadette,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,Matthews,Jason,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Independent,IndÈpendant(e),McMahon,Shawn,
12009,South Shore--St. Margarets,South Shore--St. Margarets,People's Party of Canada,Parti populaire du Canada,Monk,Robert,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Conservative Party of Canada,Parti conservateur du Canada,Perkins,Rick,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Christian Heritage Party of Canada,Parti de l'HÈritage ChrÈtien du Canada,Schulthies,Kevin,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Green Party of Canada,Le Parti Vert du Canada,Trappenberg,Thomas,
12010,Sydney--Victoria,Sydney--Victoria,Liberal Party of Canada,Parti libÈral du Canada,Battiste,Jaime,
12010,Sydney--Victoria,Sydney--Victoria,Green Party of Canada,Le Parti Vert du Canada,Foster,Lois,
12010,Sydney--Victoria,Sydney--Victoria,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,Joy,Randy,
12010,Sydney--Victoria,Sydney--Victoria,Independent,IndÈpendant(e),MacKinnon,Archie,
12010,Sydney--Victoria,Sydney--Victoria,Independent,IndÈpendant(e),MacNeil,Kenzie,
12010,Sydney--Victoria,Sydney--Victoria,New Democratic Party,Nouveau Parti dÈmocratique,McDavid,Jodi,
12010,Sydney--Victoria,Sydney--Victoria,Conservative Party of Canada,Parti conservateur du Canada,Orrell,Eddie,
12011,West Nova,Nova-Ouest,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,Cook,Gloria Jane,
12011,West Nova,Nova-Ouest,Conservative Party of Canada,Parti conservateur du Canada,d'Entremont,Chris,
12011,West Nova,Nova-Ouest,Liberal Party of Canada,Parti libÈral du Canada,Deveau,Jason,
12011,West Nova,Nova-Ouest,New Democratic Party,Nouveau Parti dÈmocratique,Dubois,Matthew,
12011,West Nova,Nova-Ouest,Green Party of Canada,Le Parti Vert du Canada,Green,Judy N,
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal Party of Canada,Parti libÈral du Canada,Cormier,Serge,
13001,Acadie--Bathurst,Acadie--Bathurst,Green Party of Canada,Le Parti Vert du Canada,Kryszko,Robert,
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative Party of Canada,Parti conservateur du Canada,Savoie,Martine,
13001,Acadie--Bathurst,Acadie--Bathurst,New Democratic Party,Nouveau Parti dÈmocratique,ThÈriault,Daniel,
13002,BeausÈjour,BeausÈjour,New Democratic Party,Nouveau Parti dÈmocratique,BÈlanger,Jean-Marc,
13002,BeausÈjour,BeausÈjour,Conservative Party of Canada,Parti conservateur du Canada,Cormier,Vincent,
13002,BeausÈjour,BeausÈjour,Liberal Party of Canada,Parti libÈral du Canada,LeBlanc,Dominic,
13002,BeausÈjour,BeausÈjour,People's Party of Canada,Parti populaire du Canada,Mercier,Nancy,
13002,BeausÈjour,BeausÈjour,Green Party of Canada,Le Parti Vert du Canada,Reinsborough,Laura,
13003,Fredericton,Fredericton,Green Party of Canada,Le Parti Vert du Canada,Atwin,Jenica,
13003,Fredericton,Fredericton,Liberal Party of Canada,Parti libÈral du Canada,DeCourcey,Matt,
13003,Fredericton,Fredericton,Conservative Party of Canada,Parti conservateur du Canada,Johnson,Andrea,
13003,Fredericton,Fredericton,Libertarian Party of Canada,Parti Libertarien du Canada,Kirby,Brandon,
13003,Fredericton,Fredericton,Communist Party of Canada,Parti communiste du Canada,Patterson,Jacob,
13003,Fredericton,Fredericton,People's Party of Canada,Parti populaire du Canada,Paull,Jason,
13003,Fredericton,Fredericton,Animal Protection Party of Canada,Le Parti pour la Protection des Animaux du Canada,Thomas,Lesley,
13003,Fredericton,Fredericton,New Democratic Party,Nouveau Parti dÈmocratique,Thomason,Mackenzie,
13004,Fundy Royal,Fundy Royal,Independent,IndÈpendant(e),Amos,David Raymond,
13004,Fundy Royal,Fundy Royal,National Citizens Alliance of Canada,Alliance Nationale des Citoyens du Canada,Evans,John,
13004,Fundy Royal,Fundy Royal,Liberal Party of Canada,Parti libÈral du Canada,Lockhart,Alaina,
13004,Fundy Royal,Fundy Royal,Conservative Party of Canada,Parti conservateur du Canada,Moore,Rob,
13004,Fundy Royal,Fundy Royal,People's Party of Canada,Parti populaire du Canada,Neumayer,Rudy,
13004,Fundy Royal,Fundy Royal,Green Party of Canada,Le Parti Vert du Canada,Thompson,Tim,
13004,Fundy Royal,Fundy Royal,New Democratic Party,Nouveau Parti dÈmocratique,Tolan,James,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal Party of Canada,Parti libÈral du Canada,Arseneault,RenÈ,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green Party of Canada,Le Parti Vert du Canada,BÈrubÈ,Louis,
13005,Madawaska--Restigouche,Madawaska--Restigouche,New Democratic Party,Nouveau Parti dÈmocratique,Betteridge,Chad,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative Party of Canada,Parti conservateur du Canada,Fox,Nelson,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,New Democratic Party,Nouveau Parti dÈmocratique,Clancy Teslenko,Eileen,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Green Party of Canada,Le Parti Vert du Canada,Deitch,Patty,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Liberal Party of Canada,Parti libÈral du Canada,Finnigan,Pat,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Independent,IndÈpendant(e),Lawson,Mathew Grant,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Independent,IndÈpendant(e),MacKenzie,Allison,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Conservative Party of Canada,Parti conservateur du Canada,McLean,Peggy,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,People's Party of Canada,Parti populaire du Canada,Nowlan,Ron,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,People's Party of Canada,Parti populaire du Canada,Driver,Stephen,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative Party of Canada,Parti conservateur du Canada,Godin-Charest,Sylvie,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green Party of Canada,Le Parti Vert du Canada,Kelly,Claire,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Animal Protection Party of Canada,Le Parti pour la Protection des Animaux du Canada,MacDonald,Brad,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,New Democratic Party,Nouveau Parti dÈmocratique,MacLaren,Luke,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal Party of Canada,Parti libÈral du Canada,Petitpas Taylor,Ginette,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Christian Heritage Party of Canada,Parti de l'HÈritage ChrÈtien du Canada,Williams,Rhys,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Green Party of Canada,Le Parti Vert du Canada,Jonah,Susan,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Liberal Party of Canada,Parti libÈral du Canada,Ludwig,Karen,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,New Democratic Party,Nouveau Parti dÈmocratique,Mullin,Douglas,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,People's Party of Canada,Parti populaire du Canada,Sarty,Meryl,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,Scott,Abe,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Conservative Party of Canada,Parti conservateur du Canada,Williamson,John,
13009,Saint John--Rothesay,Saint John--Rothesay,Independent,IndÈpendant(e),Barnett,Neville,
13009,Saint John--Rothesay,Saint John--Rothesay,New Democratic Party,Nouveau Parti dÈmocratique,Cormier,Armand,
13009,Saint John--Rothesay,Saint John--Rothesay,Independent,IndÈpendant(e),Jamieson,Stuart,
13009,Saint John--Rothesay,Saint John--Rothesay,Liberal Party of Canada,Parti libÈral du Canada,Long,Wayne,
13009,Saint John--Rothesay,Saint John--Rothesay,Green Party of Canada,Le Parti Vert du Canada,McAllister,Ann,
13009,Saint John--Rothesay,Saint John--Rothesay,People's Party of Canada,Parti populaire du Canada,Salesse,Adam J. C.,
13009,Saint John--Rothesay,Saint John--Rothesay,Conservative Party of Canada,Parti conservateur du Canada,Weston,Rodney,
13010,Tobique--Mactaquac,Tobique--Mactaquac,New Democratic Party,Nouveau Parti dÈmocratique,Aiken,Megan,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative Party of Canada,Parti conservateur du Canada,Bragdon,Richard,
13010,Tobique--Mactaquac,Tobique--Mactaquac,People's Party of Canada,Parti populaire du Canada,Guay,Dominic,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal Party of Canada,Parti libÈral du Canada,MacDonald,Kelsey,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green Party of Canada,Le Parti Vert du Canada,Miller,Rowan P.,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Liberal Party of Canada,Parti libÈral du Canada,Bergeron,Isabelle,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Bloc QuÈbÈcois,Bloc QuÈbÈcois,BÈrubÈ,Sylvie,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Green Party of Canada,Le Parti Vert du Canada,Cabana-Whiteley,Kiara,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Conservative Party of Canada,Parti conservateur du Canada,Ferron,Martin,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,People's Party of Canada,Parti populaire du Canada,Lanouette,Guillaume,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,New Democratic Party,Nouveau Parti dÈmocratique,Rouleau,Jacline,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Marijuana Party,Parti Marijuana,Simon,Daniel,
24002,Abitibi--TÈmiscamingue,Abitibi--TÈmiscamingue,Green Party of Canada,Le Parti Vert du Canada,BÈgin,Aline,
24002,Abitibi--TÈmiscamingue,Abitibi--TÈmiscamingue,People's Party of Canada,Parti populaire du Canada,Girard,Jacques,
24002,Abitibi--TÈmiscamingue,Abitibi--TÈmiscamingue,New Democratic Party,Nouveau Parti dÈmocratique,Guimond,Alain,
24002,Abitibi--TÈmiscamingue,Abitibi--TÈmiscamingue,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Lemire,SÈbastien,
24002,Abitibi--TÈmiscamingue,Abitibi--TÈmiscamingue,Conservative Party of Canada,Parti conservateur du Canada,Provencher,Mario,
24002,Abitibi--TÈmiscamingue,Abitibi--TÈmiscamingue,Liberal Party of Canada,Parti libÈral du Canada,Thibault,Claude,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,People's Party of Canada,Parti populaire du Canada,Ayas,Raymond,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,New Democratic Party,Nouveau Parti dÈmocratique,El-Masri,Zahia,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Liberal Party of Canada,Parti libÈral du Canada,Joly,MÈlanie,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Conservative Party of Canada,Parti conservateur du Canada,Laframboise,Kathy,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Green Party of Canada,Le Parti Vert du Canada,Lavarenne,Jean-Michel,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Parizeau,AndrÈ,
24004,Alfred-Pellan,Alfred-Pellan,Parti pour l'IndÈpendance du QuÈbec,Parti pour l'IndÈpendance du QuÈbec,ButÈ,Julius,
24004,Alfred-Pellan,Alfred-Pellan,Independent,IndÈpendant(e),Cappelletti,Dwayne,
24004,Alfred-Pellan,Alfred-Pellan,People's Party of Canada,Parti populaire du Canada,Couture,Matthieu,
24004,Alfred-Pellan,Alfred-Pellan,Conservative Party of Canada,Parti conservateur du Canada,Esposito,Angelo,
24004,Alfred-Pellan,Alfred-Pellan,Green Party of Canada,Le Parti Vert du Canada,Howells,Marguerite,
24004,Alfred-Pellan,Alfred-Pellan,Liberal Party of Canada,Parti libÈral du Canada,Iacono,Angelo,
24004,Alfred-Pellan,Alfred-Pellan,New Democratic Party,Nouveau Parti dÈmocratique,Kocini,Andriana,
24004,Alfred-Pellan,Alfred-Pellan,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Lachance,Michel,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,New Democratic Party,Nouveau Parti dÈmocratique,Boucher Smoley,Charlotte,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Destroismaisons,Yves,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,People's Party of Canada,Parti populaire du Canada,Edwards,Sherwin,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Liberal Party of Canada,Parti libÈral du Canada,Lauzon,StÈphane,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Conservative Party of Canada,Parti conservateur du Canada,Louis-Seize,Marie,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Green Party of Canada,Le Parti Vert du Canada,Valiquette,Marjorie,
24006,Avignon--La Mitis--Matane--MatapÈdia,Avignon--La Mitis--Matane--MatapÈdia,People's Party of Canada,Parti populaire du Canada,BarnabÈ,…ric,
24006,Avignon--La Mitis--Matane--MatapÈdia,Avignon--La Mitis--Matane--MatapÈdia,Parti RhinocÈros Party,Parti RhinocÈros Party,Castonguay,Mathieu,
24006,Avignon--La Mitis--Matane--MatapÈdia,Avignon--La Mitis--Matane--MatapÈdia,New Democratic Party,Nouveau Parti dÈmocratique,CÙtÈ,RÈmi-Jocelyn,
24006,Avignon--La Mitis--Matane--MatapÈdia,Avignon--La Mitis--Matane--MatapÈdia,Liberal Party of Canada,Parti libÈral du Canada,MassÈ,RÈmi,
24006,Avignon--La Mitis--Matane--MatapÈdia,Avignon--La Mitis--Matane--MatapÈdia,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Michaud,Kristina,
24006,Avignon--La Mitis--Matane--MatapÈdia,Avignon--La Mitis--Matane--MatapÈdia,Green Party of Canada,Le Parti Vert du Canada,Morrison,James,
24006,Avignon--La Mitis--Matane--MatapÈdia,Avignon--La Mitis--Matane--MatapÈdia,Conservative Party of Canada,Parti conservateur du Canada,Tremblay,Natasha,
24007,Beauce,Beauce,People's Party of Canada,Parti populaire du Canada,Bernier,Maxime,
24007,Beauce,Beauce,Parti RhinocÈros Party,Parti RhinocÈros Party,Bernier,Maxime,
24007,Beauce,Beauce,Green Party of Canada,Le Parti Vert du Canada,Fortin,Josiane,
24007,Beauce,Beauce,New Democratic Party,Nouveau Parti dÈmocratique,Jacques-CÙtÈ,FranÁois,
24007,Beauce,Beauce,Conservative Party of Canada,Parti conservateur du Canada,Lehoux,Richard,
24007,Beauce,Beauce,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Rodrigue,Guillaume,
24007,Beauce,Beauce,Liberal Party of Canada,Parti libÈral du Canada,Veilleux,Adam,
24008,Beauport--Limoilou,Beauport--Limoilou,New Democratic Party,Nouveau Parti dÈmocratique,Beaudet,Simon-Pierre,
24008,Beauport--Limoilou,Beauport--Limoilou,People's Party of Canada,Parti populaire du Canada,BÈdard,Alicia,
24008,Beauport--Limoilou,Beauport--Limoilou,Liberal Party of Canada,Parti libÈral du Canada,Bujold,Antoine,
24008,Beauport--Limoilou,Beauport--Limoilou,Conservative Party of Canada,Parti conservateur du Canada,Clarke,Alupa,
24008,Beauport--Limoilou,Beauport--Limoilou,Green Party of Canada,Le Parti Vert du Canada,Elhak,Dalila,
24008,Beauport--Limoilou,Beauport--Limoilou,Marxist-Leninist Party of Canada,Parti Marxiste-LÈniniste du Canada,Moreau,Claude,
